DateTime,AddedIPs,RemovedIPs
1540106524,6,0
1540107124,2,0
1540107843,66,0
1540108324,3,0
1540108971,3,1
1540109524,7,0
1540110123,3,0
1540110723,5,0
1540111323,1,0
1540111682,73,10
1540111923,6,0
1540112576,3,0
1540113124,1,0
1540113724,2,0
1540114323,0,86
1540114923,2,0
1540115764,89,0
1540116229,0,2
1540117322,10,0
1540117922,4,0
1540118524,4,0
1540119612,80,21
1540120084,8,96
1540120324,5,0
1540120923,2,0
1540121523,84,0
1540122123,11,0
1540123374,2,1
1540124524,1,0
1540125362,71,18
1540125843,20,50
1540127764,1,69
1540128723,3,0
1540129323,5,0
1540129682,89,0
1540129923,3,0
1540130633,2,1
1540131124,2,0
1540131723,4,0
1540132923,4,0
1540133524,64,130
1540134124,2,0
1540134723,2,0
1540135443,78,0
1540135923,4,0
1540136523,3,0
1540137363,79,62
1540137828,4,2
1540138324,3,0
1540138924,2,0
1540139763,82,19
1540140123,1,0
1540141923,2,0
1540142523,6,0
1540143608,69,90
1540143723,1,0
1540144323,6,0
1540144971,8,0
1540145523,1,0
1540146124,2,0
1540146723,4,0
1540147445,93,67
1540148572,1,2
1540149363,4,90
1540149723,6,0
1540150323,3,0
1540150923,2,0
1540151282,91,0
1540151526,9,0
1540152172,7,0
1540153324,3,0
1540154523,5,0
1540155125,84,76
1540155771,2,1
1540156324,3,0
1540156923,3,0
1540157523,1,0
1540158124,1,1
1540158964,67,219
1540159374,4,0
1540160524,1,0
1540161723,5,0
1540162810,73,0
1540162970,6,0
1540163524,2,0
1540165323,7,0
1540165923,3,0
1540166642,78,26
1540167608,0,218
1540167724,1,0
1540168562,61,0
1540170724,1,1
1540171324,2,0
1540172403,58,9
1540172524,4,0
1540173365,2,132
1540173772,3,1
1540174923,1,0
1540175523,2,0
1540176242,80,0
1540176723,3,0
1540177430,0,3
1540177923,20,0
1540178523,3,0
1540179725,6,0
1540180082,80,10
1540180323,2,0
1540180974,5,1
1540182007,10,85
1540182123,4,0
1540182724,6,0
1540183923,81,9
1540184574,1,1
1540185124,7,0
1540185723,15,0
1540186323,8,0
1540186802,0,160
1540186924,3,0
1540187763,85,0
1540188172,7,0
1540188724,95,14
1540189323,5,0
1540189682,14,78
1540189923,4,0
1540190523,3,0
1540191123,1,0
1540191606,75,82
1540191770,3,0
1540192325,6,0
1540192923,6,0
1540193523,61,17
1540194125,1,0
1540194723,3,0
1540195431,4,2
1540195923,2,0
1540196523,5,0
1540197124,1,0
1540197363,67,98
1540197723,4,0
1540199524,2,1
1540200124,4,0
1540200723,12,0
1540201323,9,0
1540201682,40,12
1540201924,3,0
1540202574,7,2
1540203607,0,99
